"Timestamp","Scripture Set","Book","Chapter","MP3 URL","Avg Chars Per Line","Seconds Used","Chars Per Unit","Audio File","Text File"
"2026-05-16 16:44:25","Book of Mormon","1 Nephi","Chapter 1","https://archive.org/download/1-nephi-ch-1/1%20Nephi%20Ch%201.mp3","148","7.92","148","1 Nephi Ch 1.mp3","1_Nep_1_text.ssml"
"2026-05-16 16:46:24","Book of Mormon","1 Nephi","Chapter 2","https://archive.org/download/1-nephi-ch-2/1%20Nephi%20Ch%202.mp3","132","7.015","132","1 Nephi Ch 2.mp3","1_Nep_2_text.ssml"
"2026-05-17 22:16:57","Book of Mormon","1 Nephi","Chapter 1","https://archive.org/download/1-nephi-ch-1/1%20Nephi%20Ch%201.mp3","148","7.92","148","1 Nephi Ch 1.mp3","1_Nep_1_text.ssml"
"2026-05-17 22:17:45","Book of Mormon","1 Nephi","Chapter 2","https://archive.org/download/1-nephi-ch-1/1%20Nephi%20Ch%202.mp3","132","7.015","132","1 Nephi Ch 2.mp3","1_Nep_2_text.ssml"
"2026-05-17 22:17:50","Book of Mormon","1 Nephi","Chapter 2","https://archive.org/download/1-nephi-ch-1/1%20Nephi%20Ch%202.mp3","132","7.015","132","1 Nephi Ch 2.mp3","1_Nep_2_text.ssml"
"2026-05-17 22:18:12","Book of Mormon","1 Nephi","Chapter 2","https://archive.org/download/1-nephi-ch-1/1%20Nephi%20Ch%202.mp3","132","7.015","132","1 Nephi Ch 2.mp3","1_Nep_2_text.ssml"
"2026-05-17 22:19:37","Book of Mormon","1 Nephi","Chapter 2","https://archive.org/download/1-nephi-ch-2/1%20Nephi%20Ch%202.mp3","132","7.015","132","1 Nephi Ch 2.mp3","1_Nep_2_text.ssml"
"2026-05-19 18:51:46","Book of Mormon","1 Nephi","Chapter 1","https://archive.org/download/1-nephi-ch-1/1%20Nephi%20Ch%201.mp3","153","7.96","153","1 Nephi Ch 1.mp3","1_Nep_1_text_v2.ssml"
"2026-05-19 18:55:14","Book of Mormon","1 Nephi","Chapter 2","https://archive.org/download/1-nephi-ch-1/1%20Nephi%20Ch%202.mp3","135","6.967","135","1 Nephi Ch 2.mp3","1_Nep_2_text_v2.ssml"
"2026-05-19 18:58:26","Book of Mormon","1 Nephi","Chapter 2","https://archive.org/download/1-nephi-ch-2/1%20Nephi%20Ch%202.mp3","135","6.967","135","1 Nephi Ch 2.mp3","1_Nep_2_text_v2.ssml"
"2026-05-21 21:14:25","Book of Mormon","1 Nephi","Chapter 1","https://archive.org/download/1-nephi-ch-1/1%20Nephi%20Ch%201.mp3","149","7.977","149","1 Nephi Ch 1.mp3","1_Nep_1_text_v2.ssml"
"2026-05-21 21:20:58","Book of Mormon","1 Nephi","Chapter 1","https://archive.org/download/1-nephi-ch-1/1%20Nephi%20Ch%201.mp3","149","7.977","149","1 Nephi Ch 1.mp3","1_Nep_1_text_v2.ssml"
"2026-05-21 21:26:32","Book of Mormon","1 Nephi","Chapter 2","https://archive.org/download/1-nephi-ch-2/1%20Nephi%20Ch%202.mp3","132","7.014","132","1 Nephi Ch 2.mp3","1_Nep_2_text_v2.ssml"
"2026-05-21 22:14:15","Book of Mormon","1 Nephi","Chapter 3","https://archive.org/download/1-nephi-ch-3/1%20Nephi%20Ch%203.mp3","128","6.919","128","1 Nephi Ch 3.mp3","1_Nep_3_text_v2.ssml"
"2026-05-22 21:24:58","Book of Mormon","1 Nephi","Chapter 1","https://archive.org/download/1-nephi-ch-1/1%20Nephi%20Ch%201.mp3","144","8.998","144","1 Nephi Ch 1.mp3","1_Nep_1_text_v2.ssml"
"2026-05-22 21:32:32","Book of Mormon","1 Nephi","Chapter 2","https://archive.org/download/1-nephi-ch-2/1%20Nephi%20Ch%202.mp3","132","8.217","132","1 Nephi Ch 2.mp3","1_Nep_2_text_v2.ssml"
"2026-05-22 21:41:43","Book of Mormon","1 Nephi","Chapter 3","https://archive.org/download/1-nephi-ch-3/1%20Nephi%20Ch%203.mp3","128","8.1288","128","1 Nephi Ch 3.mp3","1_Nep_3_text_v2.ssml"
"2026-05-28 13:18:16","Book of Mormon","1 Nephi","Chapter 4","https://archive.org/download/1-nephi-ch-4/1%20Nephi%20Ch%204.mp3","120","7.521","120","1 Nephi Ch 4.mp3","1_Nep_4_text_v2.ssml"
"2026-06-02 21:55:42","Book of Mormon","1 Nephi","Chapter 5","https://archive.org/download/1-nephi-ch-5/1%20Nephi%20Ch%205.mp3","127","7.928","127","1 Nephi Ch 5.mp3","1_Nep_5_text_v1.ssml"
"2026-06-02 22:00:19","Book of Mormon","1 Nephi","Chapter 6","https://archive.org/download/1-nephi-ch-6/1%20Nephi%20Ch%206.mp3","167","10.985","167","1 Nephi Ch 6.mp3","1_Nep_6_text_v2.ssml"
"2026-06-02 22:03:35","Book of Mormon","1 Nephi","Chapter 7","https://archive.org/download/1-nephi-ch-7/1%20Nephi%20Ch%207.mp3","113","10.53","167","1 Nephi Ch 7.mp3","1_Nep_7_text_v2.ssml"
"2026-06-02 22:06:03","Book of Mormon","1 Nephi","Chapter 5","https://archive.org/download/1-nephi-ch-5/1%20Nephi%20Ch%205.mp3","127","7.928","127","1 Nephi Ch 5.mp3","1_Nep_5_text_v2.ssml"
"2026-06-05 18:47:40","Book of Mormon","1 Nephi","Chapter 3","https://archive.org/download/1-nephi-ch-3/1%20Nephi%20Ch%203.mp3","0","11","153","1 Nephi Ch 3v2.mp3","1_Nep_3_text_v2-converted.vtt"
"2026-06-05 21:41:14","Book of Mormon","1 Nephi","Chapter 1","https://archive.org/download/1-nephi-ch-1/1%20Nephi%20Ch%201.mp3","0","11","153","1 Nephi Ch 1.mp3","1_Nep_1_Final-vtt.vtt"
"2026-06-05 22:00:45","Book of Mormon","1 Nephi","Chapter 2","https://archive.org/download/1-nephi-ch-2/1%20Nephi%20Ch%202.mp3","0","11","153","1 Nephi Ch 2.mp3","1_Nep_2_Final-vtt.vtt"
"2026-06-06 12:55:00","Book of Mormon","1 Nephi","Chapter 4","https://archive.org/download/1-nephi-ch-4/1%20Nephi%20Ch%204.mp3","0","11","153","1 Nephi Ch 4.mp3","1_Nep_4_Final-vtt.vtt"
"2026-06-06 13:34:15","Book of Mormon","1 Nephi","Chapter 5","https://archive.org/download/1-nephi-ch-5/1%20Nephi%20Ch%205.mp3","0","11","153","1 Nephi Ch 5.mp3","1_Nep_5_Final-vtt.vtt"
"2026-06-06 13:39:02","Book of Mormon","1 Nephi","Chapter 6","https://archive.org/download/1-nephi-ch-6/1%20Nephi%20Ch%206.mp3","0","11","153","1 Nephi Ch 6.mp3","1_Nep_6_Final-vtt.vtt"
"2026-06-06 13:43:23","Book of Mormon","1 Nephi","Chapter 7","https://archive.org/download/1-nephi-ch-7/1%20Nephi%20Ch%207.mp3","0","11","153","1 Nephi Ch 7.mp3","1_Nep_7_Final-vtt.vtt"
"2026-06-06 14:12:50","Book of Mormon","2 Nephi","Chapter 1","https://archive.org/download/2-nephi-ch-1/2%20Nephi%20Ch%201.mp3","0","11","153","2 Nephi Ch 1.mp3","2_Nep_1_Final-vtt.vtt"
"2026-06-18 15:03:21","Book of Mormon","2 Nephi","Chapter 2","https://archive.org/download/2-nephi-ch-2/2%20Nephi%20Ch%202.mp3","0","11","153","2 Nephi Ch 2.mp3","2-nep-2-Final-vtt.vtt"
"2026-06-18 15:05:41","Book of Mormon","2 Nephi","Chapter 3","https://archive.org/download/2-nephi-ch-3/2%20Nephi%20Ch%203.mp3","0","11","153","2 Nephi Ch 3.mp3","2-nep-3-Final-vtt.vtt"
"2026-06-19 22:07:51","Book of Mormon","2 Nephi","Chapter 4","https://archive.org/download/2-nephi-ch-4/2%20Nephi%20Ch%204.mp3","0","11","153","2 Nephi Ch 4.mp3","2-nep-4-Final-vtt.vtt"
"2026-06-19 22:09:17","Book of Mormon","2 Nephi","Chapter 5","https://archive.org/download/2-nephi-ch-5/2%20Nephi%20Ch%205.mp3","0","11","153","2 Nephi Ch 5.mp3","2-nep-5-Final-vtt.vtt"
"2026-06-19 22:10:24","Book of Mormon","2 Nephi","Chapter 6","https://archive.org/download/2-nephi-ch-6/2%20Nephi%20Ch%206.mp3","0","11","153","2 Nephi Ch 6.mp3","2-nep-6-Final-vtt.vtt"
"2026-06-19 22:11:25","Book of Mormon","2 Nephi","Chapter 7","https://archive.org/download/2-nephi-ch-7/2%20Nephi%20Ch%207.mp3","0","11","153","2 Nephi Ch 7.mp3","2-nep-7-Final-vtt.vtt"
"2026-06-19 22:12:20","Book of Mormon","2 Nephi","Chapter 8","https://archive.org/download/2-nephi-ch-8/2%20Nephi%20Ch%208.mp3","0","11","153","2 Nephi Ch 8.mp3","2-nep-8-Final-vtt.vtt"
"2026-06-19 22:13:14","Book of Mormon","2 Nephi","Chapter 9","https://archive.org/download/2-nephi-ch-9/2%20Nephi%20Ch%209.mp3","0","11","153","2 Nephi Ch 9.mp3","2-nep-9-Final-vtt.vtt"
"2026-06-19 22:14:10","Book of Mormon","2 Nephi","Chapter 10","https://archive.org/download/2-nephi-ch-10/2%20Nephi%20Ch%2010.mp3","0","11","153","2 Nephi Ch 10.mp3","2-nep-10-Final-vtt.vtt"
"2026-06-19 22:15:01","Book of Mormon","2 Nephi","Chapter 11","https://archive.org/download/2-nephi-ch-11/2%20Nephi%20Ch%2011.mp3","0","11","153","2 Nephi Ch 11.mp3","2_Nep_Ch_11_Final-vtt.vtt"
"2026-06-19 22:15:56","Book of Mormon","2 Nephi","Chapter 12","https://archive.org/download/2-nephi-ch-12/2%20Nephi%20Ch%2012.mp3","0","11","153","2 Nephi Ch 12.mp3","2_Nep_Ch_12_Final-vtt.vtt"
"2026-06-19 22:16:56","Book of Mormon","2 Nephi","Chapter 13","https://archive.org/download/2-nephi-ch-13/2%20Nephi%20Ch%2013.mp3","0","11","153","2 Nephi Ch 13.mp3","2_Nep_Ch_13_Final-vtt.vtt"
"2026-06-19 22:17:51","Book of Mormon","2 Nephi","Chapter 14","https://archive.org/download/2-nephi-ch-14/2%20Nephi%20Ch%2014.mp3","0","11","153","2 Nephi Ch 14.mp3","2_Nep_Ch_14_Final-vtt.vtt"
"2026-06-19 22:18:42","Book of Mormon","2 Nephi","Chapter 15","https://archive.org/download/2-nephi-ch-15/2%20Nephi%20Ch%2015.mp3","0","11","153","2 Nephi Ch 15.mp3","2_Nep_Ch_15_Final-vtt.vtt"
"2026-07-17 13:53:36","Book of Mormon","Jacob","Chapter 1","https://archive.org/download/jacob-ch-1/Jacob%20Ch%201.mp3","0","11","153","Jacob Ch 1.mp3","Jacob_Ch_1_orig_text-final-vtt.vtt"
"2026-07-17 14:46:15","Book of Mormon","Jacob","Chapter 2","https://archive.org/download/jacob-ch-2/Jacob%20Ch%202.mp3","0","11","153","Jacob Ch 2.mp3","Jacob_Ch_2_orig_text-final-vtt.vtt"
"2026-07-17 14:46:15","Book of Mormon","Jacob","Chapter 3","https://archive.org/download/jacob-ch-3/Jacob%20Ch%203.mp3","0","11","153","Jacob Ch 3.mp3","Jacob_Ch_3_orig_text-final-vtt.vtt"
"2026-07-17 14:46:15","Book of Mormon","Jacob","Chapter 4","https://archive.org/download/jacob-ch-4/Jacob%20Ch%204.mp3","0","11","153","Jacob Ch 4.mp3","Jacob_Ch_4_orig_text-final-vtt.vtt"
"2026-07-17 14:46:15","Book of Mormon","Jacob","Chapter 5","https://archive.org/download/jacob-ch-5/Jacob%20Ch%205.mp3","0","11","153","Jacob Ch 5.mp3","Jacob_Ch_5_orig_text-final-vtt.vtt"
